bestAnswer,score
0,2.292233E-2
0,8.653649E-2
0,7.500333E-2
0,3.457464E-3
0,2.642885E-2
0,2.970049E-3
0,2.243255E-3
0,1.353214E-2
0,7.522018E-3
0,2.296594E-2
0,3.077081E-1
0,3.10362E-2
0,6.637487E-2
0,2.320489E-1
0,2.868147E-2
0,3.608121E-1
1,9.467441E-1
0,9.390395E-3
0,9.618048E-2
0,4.641957E-2
0,3.383614E-1
0,3.789549E-1
0,3.960965E-2
0,4.110749E-2
0,2.102723E-1
0,4.580252E-3
0,4.430063E-2
0,4.24595E-3
0,7.403933E-3
0,3.873998E-1
0,4.548622E-2
0,6.182644E-1
0,5.750714E-3
0,3.756433E-2
1,9.025228E-1
0,2.152962E-2
0,1.335326E-2
0,1.413258E-2
0,7.000366E-3
0,6.238642E-3
0,5.496371E-2
0,3.720048E-1
0,7.301011E-2
0,4.834575E-1
0,1.376133E-2
0,2.011461E-2
1,9.792796E-1
0,1.349537E-1
0,3.643111E-1
0,1.379517E-2
0,8.196364E-3
0,4.332919E-1
0,4.765136E-3
0,1.237E-2
0,3.211986E-1
0,6.664308E-3
0,2.810072E-2
0,2.266404E-1
0,1.762327E-2
0,6.764233E-1
0,4.076914E-1
0,3.229804E-1
0,1.122908E-2
0,4.346093E-3
0,2.229781E-3
0,1.021781E-1
0,1.396896E-2
0,6.300097E-3
0,2.209989E-1
0,8.176795E-3
0,9.92615E-2
0,4.328099E-3
0,1.940602E-3
0,5.557338E-2
0,1.475121E-2
0,1.85135E-2
0,1.968798E-3
0,3.357951E-1
0,3.805357E-3
0,3.778894E-2
0,1.90685E-2
0,3.124856E-1
0,3.242048E-2
0,4.237358E-1
0,2.381863E-3
0,4.403397E-1
0,6.732214E-3
0,3.840889E-3
0,4.314133E-2
0,1.392999E-2
0,1.925752E-3
0,2.925478E-2
0,7.443529E-3
0,3.997573E-1
0,2.865509E-3
0,7.4581E-3
0,6.197186E-3
0,1.696255E-1
0,5.637554E-3
0,1.934212E-3
0,6.079725E-3
0,2.271165E-2
0,1.288633E-2
0,8.016685E-3
0,1.081371E-2
0,4.891613E-3
0,3.471106E-2
0,2.214787E-1
0,6.476612E-3
1,8.698769E-1
0,2.390574E-3
0,2.200003E-3
0,1.045707E-2
0,3.520147E-2
0,4.719208E-1
0,9.499355E-3
0,2.956707E-2
0,1.38637E-1
0,2.418406E-3
1,8.122643E-1
0,1.900449E-2
0,3.101296E-3
0,1.214303E-2
0,1.352081E-2
0,4.844086E-2
0,2.133041E-2
0,2.961978E-2
0,2.903907E-2
0,1.392625E-1
0,1.22629E-2
0,1.842622E-2
0,5.113506E-3
0,4.776025E-1
0,5.636826E-3
0,4.216359E-3
0,3.654888E-3
0,8.117404E-3
0,1.975183E-3
0,3.238009E-2
0,4.40925E-1
0,3.512413E-1
0,7.238865E-3
0,3.060458E-2
1,9.715517E-1
0,3.529738E-1
0,1.400891E-2
0,3.550037E-3
0,7.69092E-2
0,8.886418E-2
0,1.838616E-3
0,3.369455E-3
0,1.782306E-2
0,2.375537E-2
0,3.484903E-1
0,1.44411E-2
0,9.365779E-3
0,1.894814E-2
0,2.286118E-2
0,8.429917E-2
0,1.617633E-1
0,5.250055E-3
0,6.575763E-3
0,2.429201E-2
0,2.42257E-1
0,6.023334E-3
0,3.503774E-2
0,5.887719E-3
0,2.426569E-3
0,5.890055E-2
1,9.12984E-1
0,1.540054E-2
0,7.321668E-3
0,6.314682E-1
1,9.922306E-1
0,3.854713E-3
0,1.827631E-2
0,1.805752E-1
0,2.550192E-2
0,4.804716E-2
0,1.521395E-2
0,2.208614E-1
0,1.911408E-2
0,2.862183E-3
0,1.282743E-1
0,2.809799E-3
0,1.986525E-3
0,6.504901E-3
0,3.663614E-2
0,2.786996E-2
0,3.665462E-1
0,7.296527E-2
0,2.623647E-2
0,1.514607E-2
0,2.764635E-3
0,2.065005E-2
0,1.095179E-2
0,5.435039E-1
0,3.976443E-3
0,1.134904E-2
0,6.491037E-2
0,1.913601E-3
0,2.135963E-1
0,5.787395E-3
0,4.429273E-3
0,4.164509E-3
0,1.86721E-2
0,3.381908E-3
0,1.514718E-2
0,1.740025E-3
0,2.023815E-2
0,1.452483E-2
0,4.904122E-3
0,2.162326E-2
0,6.189504E-3
0,2.70732E-1
0,1.543794E-2
0,2.860685E-3
0,6.835369E-3
0,3.629717E-2
0,5.064537E-1
0,2.280227E-2
0,7.599941E-1
0,2.859135E-2
0,2.059872E-2
0,1.881607E-2
0,2.991769E-3
1,7.796322E-1
0,2.42356E-3
0,3.430675E-3
0,1.273216E-2
0,3.329383E-3
0,9.051442E-3
0,7.748256E-3
0,1.022941E-2
0,1.528281E-3
0,2.526215E-3
0,4.433796E-3
0,1.865582E-2
0,1.992525E-2
0,1.189513E-2
0,3.613722E-3
0,9.793778E-3
0,3.098566E-3
0,3.881178E-3
0,1.128253E-2
0,3.827258E-2
0,3.336774E-2
0,8.094543E-2
0,1.242683E-2
0,5.54865E-2
0,9.212343E-3
0,5.482637E-3
0,5.265829E-2
0,7.830804E-3
0,2.102531E-3
0,9.74634E-3
0,1.705728E-2
0,1.762964E-3
0,7.188539E-2
0,1.505436E-1
0,1.370534E-3
0,9.121007E-3
0,3.991962E-1
0,9.152356E-2
0,1.529011E-1
0,1.324602E-2
0,1.046797E-2
0,1.015725E-3
0,9.898864E-3
0,3.075083E-3
0,1.119919E-2
0,3.947685E-2
0,7.551866E-1
0,9.303699E-3
0,3.576973E-3
0,4.975518E-3
0,1.631221E-2
0,9.818042E-3
0,2.424544E-2
0,2.627758E-2
0,2.876207E-2
0,1.057082E-1
0,8.524254E-4
0,4.677925E-1
0,4.571281E-2
0,3.539693E-1
0,3.979723E-1
0,1.379044E-2
0,6.04806E-3
0,1.02535E-2
0,2.997449E-2
0,6.004942E-3
0,1.005469E-2
0,9.521429E-3
0,5.676157E-3
0,8.342462E-2
0,1.03911E-2
0,3.8799E-3
0,2.614232E-2
0,1.678097E-2
0,5.634489E-3
0,6.787218E-1
0,1.139387E-2
0,6.543115E-3
0,6.189117E-2
0,2.239623E-2
1,9.513209E-1
0,5.361988E-3
0,1.092721E-3
0,1.815099E-1
0,4.45149E-3
0,1.952419E-2
0,2.901544E-2
0,1.379956E-2
0,9.715512E-2
0,1.042663E-2
0,1.280991E-1
0,7.023077E-2
0,2.800336E-3
0,1.584433E-2
0,3.594328E-3
0,6.337067E-2
0,3.029376E-2
0,2.106274E-2

